description,priority
Gas leak reported near stadium,High
Exposed live electric wire near temple road,High
Blocked drainage causing foul smell at factory gate,Medium
Park benches broken at residential street,Low
Park benches broken at playground,Low
Posters defacing public property at community hall,Low
Improper street sweeping at office area,Low
Encroachment by vendors at school gate,Low
Posters defacing public property at main road,Low
Public toilet unhygienic at flyover,Low
Stray animals loitering at shopping mall,Low
Graffiti on walls near residential street,Low
Improper street sweeping at main road,Low
Streetlight not working near factory gate,Medium
Power line down after storm near stadium,High
Encroachment by vendors at bus stop,Low
Flooded underpass at riverbank blocking traffic,High
Flooded underpass at office area blocking traffic,High
Minor cracks on road at stadium,Low
Sewage overflowing on riverbank street,High
Public toilet unhygienic at community hall,Low
Improper street sweeping at stadium,Low
Blocked drainage causing foul smell at bus stop,Medium
Stray animals loitering at factory gate,Low
Noise pollution from vehicles at railway station,Medium
Dim lights making park unsafe at railway station,Low
Illegal parking near underpass,Medium
Broken sidewalk at office area,Medium
Stray animals loitering at railway station,Low
Power line down after storm near riverbank,High
Traffic signal malfunctioning at flyover,Medium
Noise pollution from vehicles at office area,Medium
Graffiti on walls near slum area,Low
Traffic signal malfunctioning at highway,Medium
Contaminated water supply reported at railway station,High
Sewage overflowing on temple road street,High
Exposed live electric wire near residential street,High
Major pothole on office area causing accidents,High
Major pothole on factory gate causing accidents,High
Water leakage from pipe at playground,Medium
Water leakage from pipe at highway,Medium
Rickshaw stand creating congestion at slum area,Medium
Street vendors occupying footpath at playground,Low
Power line down after storm near highway,High
Illegal parking near hospital entrance,Medium
Flooded underpass at underpass blocking traffic,High
Illegal parking near stadium,Medium
Broken sidewalk at underpass,Medium
Water leakage from pipe at temple road,Medium
Rickshaw stand creating congestion at stadium,Medium
Exposed live electric wire near bus stop,High
Posters defacing public property at bus stop,Low
Collapsed footbridge at flyover,High
Sewage overflowing on slum area street,High
Sewage overflowing on underpass street,High
Improper street sweeping at highway,Low
Overflowing garbage bins at main road,Medium
Improper street sweeping at temple road,Low
Blocked drainage causing foul smell at hospital entrance,Medium
Stray animals loitering at bus stop,Low
Overflowing garbage bins at stadium,Medium
Dim lights making park unsafe at college campus,Low
Dust from construction at playground,Medium
Gas leak reported near playground,High
Sewage overflowing on underpass street,High
Collapsed footbridge at shopping mall,High
Traffic signal malfunctioning at temple road,Medium
Public toilet unhygienic at community hall,Low
Collapsed footbridge at riverbank,High
Exposed live electric wire near shopping mall,High
Stray animals loitering at college campus,Low
Rickshaw stand creating congestion at market,Medium
Flooded underpass at bus stop blocking traffic,High
Sewage overflowing on highway street,High
Dust from construction at railway station,Medium
Graffiti on walls near slum area,Low
Overflowing garbage bins at flyover,Medium
Water leakage from pipe at underpass,Medium
Graffiti on walls near shopping mall,Low
Overflowing garbage bins at temple road,Medium
Dim lights making park unsafe at college campus,Low
Overflowing garbage bins at school gate,Medium
Gas leak reported near community hall,High
Graffiti on walls near bus stop,Low
Sewage overflowing on railway station street,High
Street vendors occupying footpath at factory gate,Low
Public toilet unhygienic at residential street,Low
Encroachment by vendors at college campus,Low
Street vendors occupying footpath at temple road,Low
Dim lights making park unsafe at stadium,Low
Minor cracks on road at slum area,Low
Posters defacing public property at office area,Low
Gas leak reported near highway,High
Minor cracks on road at shopping mall,Low
Broken sidewalk at bus stop,Medium
Park benches broken at community hall,Low
Overflowing garbage bins at slum area,Medium
Noise pollution from vehicles at shopping mall,Medium
Water leakage from pipe at factory gate,Medium
Blocked drainage causing foul smell at railway station,Medium
Exposed live electric wire near highway,High
Street vendors occupying footpath at market,Low
Sewage overflowing on market street,High
Noise pollution from vehicles at school gate,Medium
Rickshaw stand creating congestion at underpass,Medium
Rickshaw stand creating congestion at office area,Medium
Public toilet unhygienic at bus stop,Low
Overflowing garbage bins at market,Medium
Minor cracks on road at college campus,Low
Blocked drainage causing foul smell at stadium,Medium
Rickshaw stand creating congestion at underpass,Medium
Traffic signal malfunctioning at flyover,Medium
Streetlight not working near underpass,Medium
Rickshaw stand creating congestion at residential street,Medium
Park benches broken at main road,Low
Encroachment by vendors at riverbank,Low
Blocked drainage causing foul smell at underpass,Medium
Water leakage from pipe at underpass,Medium
Posters defacing public property at riverbank,Low
Gas leak reported near office area,High
Streetlight not working near market,Medium
Posters defacing public property at market,Low
Posters defacing public property at main road,Low
Posters defacing public property at railway station,Low
Rickshaw stand creating congestion at bus stop,Medium
Open manhole at shopping mall posing danger,High
Contaminated water supply reported at college campus,High
Improper street sweeping at riverbank,Low
Noise pollution from vehicles at playground,Medium
Minor cracks on road at riverbank,Low
Stray animals loitering at community hall,Low
Park benches broken at school gate,Low
Dim lights making park unsafe at school gate,Low
Traffic signal malfunctioning at school gate,Medium
Streetlight not working near community hall,Medium
Illegal parking near flyover,Medium
Encroachment by vendors at slum area,Low
Major pothole on bus stop causing accidents,High
Improper street sweeping at flyover,Low
Park benches broken at community hall,Low
Park benches broken at highway,Low
Street vendors occupying footpath at shopping mall,Low
Major pothole on flyover causing accidents,High
Overflowing garbage bins at riverbank,Medium
Stray animals loitering at temple road,Low
Posters defacing public property at hospital entrance,Low
Park benches broken at college campus,Low
Overflowing garbage bins at college campus,Medium
Water leakage from pipe at bus stop,Medium
Major pothole on highway causing accidents,High
Collapsed footbridge at hospital entrance,High
Encroachment by vendors at school gate,Low
Noise pollution from vehicles at hospital entrance,Medium
Fire hazard due to garbage burning at market,High
Dust from construction at shopping mall,Medium
Open manhole at school gate posing danger,High
Noise pollution from vehicles at slum area,Medium
Illegal parking near playground,Medium
Streetlight not working near factory gate,Medium
Illegal parking near college campus,Medium
Noise pollution from vehicles at market,Medium
Fire hazard due to garbage burning at stadium,High
Streetlight not working near railway station,Medium
Park benches broken at shopping mall,Low
Dim lights making park unsafe at bus stop,Low
Sewage overflowing on playground street,High
Contaminated water supply reported at highway,High
Dust from construction at highway,Medium
Contaminated water supply reported at college campus,High
Blocked drainage causing foul smell at riverbank,Medium
Streetlight not working near factory gate,Medium
Illegal parking near stadium,Medium
Blocked drainage causing foul smell at riverbank,Medium
Open manhole at shopping mall posing danger,High
Water leakage from pipe at underpass,Medium
Public toilet unhygienic at railway station,Low
Noise pollution from vehicles at stadium,Medium
Stray animals loitering at flyover,Low
Street vendors occupying footpath at underpass,Low
Street vendors occupying footpath at market,Low
Dust from construction at market,Medium
Illegal parking near community hall,Medium
Exposed live electric wire near stadium,High
Contaminated water supply reported at flyover,High
Broken sidewalk at flyover,Medium
Graffiti on walls near playground,Low
Broken sidewalk at factory gate,Medium
Encroachment by vendors at riverbank,Low
Dust from construction at railway station,Medium
Streetlight not working near community hall,Medium
Major pothole on school gate causing accidents,High
Overflowing garbage bins at playground,Medium
Overflowing garbage bins at market,Medium
Flooded underpass at railway station blocking traffic,High
Blocked drainage causing foul smell at slum area,Medium
Blocked drainage causing foul smell at slum area,Medium
Stray animals loitering at stadium,Low
Streetlight not working near underpass,Medium
Dust from construction at school gate,Medium
Public toilet unhygienic at stadium,Low
Noise pollution from vehicles at shopping mall,Medium
Open manhole at factory gate posing danger,High
Street vendors occupying footpath at residential street,Low
Public toilet unhygienic at highway,Low
Improper street sweeping at underpass,Low
Collapsed footbridge at playground,High
Fire hazard due to garbage burning at hospital entrance,High
Noise pollution from vehicles at college campus,Medium
Public toilet unhygienic at community hall,Low
Park benches broken at slum area,Low
Posters defacing public property at flyover,Low
Posters defacing public property at highway,Low
Encroachment by vendors at school gate,Low
Noise pollution from vehicles at underpass,Medium
Fire hazard due to garbage burning at slum area,High
Traffic signal malfunctioning at riverbank,Medium
Public toilet unhygienic at market,Low
Fire hazard due to garbage burning at office area,High
Contaminated water supply reported at bus stop,High
Stray animals loitering at college campus,Low
Fire hazard due to garbage burning at bus stop,High
Minor cracks on road at underpass,Low
Broken sidewalk at hospital entrance,Medium
Contaminated water supply reported at office area,High
Encroachment by vendors at community hall,Low
Rickshaw stand creating congestion at playground,Medium
Sewage overflowing on slum area street,High
Contaminated water supply reported at flyover,High
Streetlight not working near riverbank,Medium
Minor cracks on road at office area,Low
Collapsed footbridge at riverbank,High
Open manhole at riverbank posing danger,High
Water leakage from pipe at factory gate,Medium
Graffiti on walls near college campus,Low
Public toilet unhygienic at slum area,Low
Broken sidewalk at bus stop,Medium
Rickshaw stand creating congestion at hospital entrance,Medium
Fire hazard due to garbage burning at main road,High
Graffiti on walls near railway station,Low
Overflowing garbage bins at highway,Medium
Streetlight not working near stadium,Medium
Blocked drainage causing foul smell at bus stop,Medium
Improper street sweeping at flyover,Low
Encroachment by vendors at riverbank,Low
Graffiti on walls near residential street,Low
Open manhole at hospital entrance posing danger,High
Gas leak reported near railway station,High
Stray animals loitering at residential street,Low
Graffiti on walls near residential street,Low
Posters defacing public property at riverbank,Low
Open manhole at underpass posing danger,High
Power line down after storm near temple road,High
Broken sidewalk at school gate,Medium
Sewage overflowing on riverbank street,High
Street vendors occupying footpath at riverbank,Low
Contaminated water supply reported at temple road,High
Minor cracks on road at community hall,Low
Exposed live electric wire near community hall,High
Power line down after storm near flyover,High
Minor cracks on road at temple road,Low
Major pothole on shopping mall causing accidents,High
Graffiti on walls near market,Low
Fire hazard due to garbage burning at school gate,High
Power line down after storm near temple road,High
Overflowing garbage bins at highway,Medium
Stray animals loitering at playground,Low
Stray animals loitering at highway,Low
Street vendors occupying footpath at main road,Low
Illegal parking near stadium,Medium
Gas leak reported near railway station,High
Improper street sweeping at community hall,Low
Traffic signal malfunctioning at community hall,Medium
Streetlight not working near college campus,Medium
Exposed live electric wire near office area,High
Street vendors occupying footpath at hospital entrance,Low
Encroachment by vendors at flyover,Low
Gas leak reported near shopping mall,High
Collapsed footbridge at temple road,High
Gas leak reported near office area,High
Graffiti on walls near school gate,Low
Dim lights making park unsafe at office area,Low
Flooded underpass at market blocking traffic,High
Street vendors occupying footpath at highway,Low
Rickshaw stand creating congestion at slum area,Medium
Illegal parking near residential street,Medium
Gas leak reported near riverbank,High
Gas leak reported near college campus,High
Rickshaw stand creating congestion at flyover,Medium
Improper street sweeping at school gate,Low
Street vendors occupying footpath at market,Low
Street vendors occupying footpath at college campus,Low
Encroachment by vendors at factory gate,Low
Blocked drainage causing foul smell at residential street,Medium
Minor cracks on road at slum area,Low
Exposed live electric wire near underpass,High
Water leakage from pipe at shopping mall,Medium
Park benches broken at community hall,Low
Stray animals loitering at residential street,Low
Dust from construction at residential street,Medium
Contaminated water supply reported at hospital entrance,High
Street vendors occupying footpath at college campus,Low
Collapsed footbridge at riverbank,High
Public toilet unhygienic at residential street,Low
Overflowing garbage bins at temple road,Medium
Blocked drainage causing foul smell at underpass,Medium
Streetlight not working near market,Medium
Contaminated water supply reported at residential street,High
Fire hazard due to garbage burning at temple road,High
Water leakage from pipe at flyover,Medium
Fire hazard due to garbage burning at factory gate,High
Streetlight not working near factory gate,Medium
Flooded underpass at slum area blocking traffic,High
Exposed live electric wire near bus stop,High
Rickshaw stand creating congestion at market,Medium
Flooded underpass at bus stop blocking traffic,High
Overflowing garbage bins at hospital entrance,Medium
Power line down after storm near college campus,High
Improper street sweeping at hospital entrance,Low
Broken sidewalk at community hall,Medium
Open manhole at bus stop posing danger,High
Water leakage from pipe at stadium,Medium
Illegal parking near community hall,Medium
Improper street sweeping at underpass,Low
Flooded underpass at highway blocking traffic,High
Park benches broken at highway,Low
Noise pollution from vehicles at factory gate,Medium
Dust from construction at school gate,Medium
Exposed live electric wire near community hall,High
Water leakage from pipe at hospital entrance,Medium
Power line down after storm near underpass,High
Blocked drainage causing foul smell at bus stop,Medium
Collapsed footbridge at stadium,High
Fire hazard due to garbage burning at hospital entrance,High
Fire hazard due to garbage burning at playground,High
Streetlight not working near flyover,Medium
Collapsed footbridge at hospital entrance,High
Improper street sweeping at riverbank,Low
Contaminated water supply reported at hospital entrance,High
Noise pollution from vehicles at market,Medium
Flooded underpass at playground blocking traffic,High
Water leakage from pipe at community hall,Medium
Improper street sweeping at community hall,Low
Public toilet unhygienic at hospital entrance,Low
Sewage overflowing on temple road street,High
Streetlight not working near market,Medium
Stray animals loitering at bus stop,Low
Gas leak reported near office area,High
Power line down after storm near highway,High
Gas leak reported near school gate,High
Power line down after storm near college campus,High
Flooded underpass at residential street blocking traffic,High
Stray animals loitering at college campus,Low
Encroachment by vendors at school gate,Low
Public toilet unhygienic at highway,Low
Power line down after storm near residential street,High
Fire hazard due to garbage burning at underpass,High
Illegal parking near playground,Medium
Streetlight not working near underpass,Medium
Sewage overflowing on riverbank street,High
Minor cracks on road at main road,Low
Graffiti on walls near underpass,Low
Dim lights making park unsafe at college campus,Low
Traffic signal malfunctioning at shopping mall,Medium
Blocked drainage causing foul smell at community hall,Medium
Dust from construction at flyover,Medium
Overflowing garbage bins at college campus,Medium
Sewage overflowing on flyover street,High
Dim lights making park unsafe at shopping mall,Low
Noise pollution from vehicles at school gate,Medium
Public toilet unhygienic at hospital entrance,Low
Encroachment by vendors at office area,Low
Sewage overflowing on highway street,High
Stray animals loitering at school gate,Low
Gas leak reported near underpass,High
Collapsed footbridge at factory gate,High
Collapsed footbridge at factory gate,High
Graffiti on walls near temple road,Low
Street vendors occupying footpath at hospital entrance,Low
Dim lights making park unsafe at riverbank,Low
Gas leak reported near market,High
Exposed live electric wire near highway,High
Park benches broken at playground,Low
Power line down after storm near residential street,High
Blocked drainage causing foul smell at slum area,Medium
Illegal parking near bus stop,Medium
Noise pollution from vehicles at hospital entrance,Medium
Flooded underpass at main road blocking traffic,High
Park benches broken at stadium,Low
Sewage overflowing on college campus street,High
Posters defacing public property at playground,Low
Streetlight not working near flyover,Medium
Illegal parking near slum area,Medium
Exposed live electric wire near temple road,High
Minor cracks on road at office area,Low
Water leakage from pipe at highway,Medium
Noise pollution from vehicles at hospital entrance,Medium
Minor cracks on road at riverbank,Low
Dust from construction at college campus,Medium
Minor cracks on road at bus stop,Low
Traffic signal malfunctioning at temple road,Medium
Gas leak reported near playground,High
Overflowing garbage bins at stadium,Medium
Sewage overflowing on flyover street,High
Exposed live electric wire near riverbank,High
Contaminated water supply reported at playground,High
Encroachment by vendors at community hall,Low
Water leakage from pipe at hospital entrance,Medium
Overflowing garbage bins at community hall,Medium
Noise pollution from vehicles at shopping mall,Medium
Gas leak reported near factory gate,High
Flooded underpass at college campus blocking traffic,High
Minor cracks on road at highway,Low
Sewage overflowing on playground street,High
Traffic signal malfunctioning at office area,Medium
Stray animals loitering at highway,Low
Major pothole on bus stop causing accidents,High
Traffic signal malfunctioning at school gate,Medium
Street vendors occupying footpath at residential street,Low
Traffic signal malfunctioning at temple road,Medium
Open manhole at flyover posing danger,High
Exposed live electric wire near slum area,High
Exposed live electric wire near temple road,High
Gas leak reported near college campus,High
Broken sidewalk at main road,Medium
Encroachment by vendors at riverbank,Low
Street vendors occupying footpath at factory gate,Low
Dim lights making park unsafe at bus stop,Low
Illegal parking near temple road,Medium
Rickshaw stand creating congestion at flyover,Medium
Illegal parking near market,Medium
Flooded underpass at temple road blocking traffic,High
Public toilet unhygienic at hospital entrance,Low
Rickshaw stand creating congestion at residential street,Medium
Fire hazard due to garbage burning at underpass,High
Illegal parking near community hall,Medium
Exposed live electric wire near flyover,High
Fire hazard due to garbage burning at slum area,High
Sewage overflowing on flyover street,High
Collapsed footbridge at bus stop,High
Illegal parking near shopping mall,Medium
Public toilet unhygienic at underpass,Low
Rickshaw stand creating congestion at highway,Medium
Dust from construction at riverbank,Medium
Dust from construction at flyover,Medium
Dust from construction at riverbank,Medium
Exposed live electric wire near college campus,High
Dust from construction at temple road,Medium
Major pothole on main road causing accidents,High
Stray animals loitering at underpass,Low
Exposed live electric wire near school gate,High
Dim lights making park unsafe at school gate,Low
Illegal parking near highway,Medium
Flooded underpass at temple road blocking traffic,High
Improper street sweeping at community hall,Low
Posters defacing public property at market,Low
Contaminated water supply reported at highway,High
Flooded underpass at flyover blocking traffic,High
Open manhole at market posing danger,High
Streetlight not working near slum area,Medium
Contaminated water supply reported at office area,High
Major pothole on market causing accidents,High
Water leakage from pipe at school gate,Medium
Contaminated water supply reported at temple road,High
Collapsed footbridge at factory gate,High
Broken sidewalk at riverbank,Medium
Streetlight not working near temple road,Medium
Major pothole on office area causing accidents,High
Streetlight not working near railway station,Medium
Dust from construction at shopping mall,Medium
Gas leak reported near riverbank,High
Broken sidewalk at office area,Medium
Streetlight not working near riverbank,Medium
Public toilet unhygienic at office area,Low
Park benches broken at office area,Low
Streetlight not working near community hall,Medium
Contaminated water supply reported at railway station,High
Dust from construction at residential street,Medium
Stray animals loitering at residential street,Low
Posters defacing public property at flyover,Low
Fire hazard due to garbage burning at office area,High
Streetlight not working near office area,Medium
Collapsed footbridge at railway station,High
Posters defacing public property at market,Low
Open manhole at residential street posing danger,High
Broken sidewalk at hospital entrance,Medium
Encroachment by vendors at bus stop,Low
Noise pollution from vehicles at college campus,Medium
Traffic signal malfunctioning at railway station,Medium
Improper street sweeping at community hall,Low
Park benches broken at factory gate,Low
Traffic signal malfunctioning at market,Medium
Noise pollution from vehicles at college campus,Medium
Exposed live electric wire near factory gate,High
Blocked drainage causing foul smell at school gate,Medium
Noise pollution from vehicles at slum area,Medium
Dim lights making park unsafe at stadium,Low
Dust from construction at hospital entrance,Medium
Open manhole at shopping mall posing danger,High
Flooded underpass at riverbank blocking traffic,High
Broken sidewalk at highway,Medium
Overflowing garbage bins at riverbank,Medium
Graffiti on walls near railway station,Low
Traffic signal malfunctioning at residential street,Medium
Open manhole at playground posing danger,High
Traffic signal malfunctioning at market,Medium
Stray animals loitering at stadium,Low
Street vendors occupying footpath at flyover,Low
Open manhole at market posing danger,High
Noise pollution from vehicles at residential street,Medium
Minor cracks on road at residential street,Low
Flooded underpass at community hall blocking traffic,High
Blocked drainage causing foul smell at slum area,Medium
Illegal parking near office area,Medium
Public toilet unhygienic at underpass,Low
Public toilet unhygienic at hospital entrance,Low
Overflowing garbage bins at shopping mall,Medium
Open manhole at office area posing danger,High
Illegal parking near stadium,Medium
Improper street sweeping at school gate,Low
Collapsed footbridge at school gate,High
Traffic signal malfunctioning at flyover,Medium
Illegal parking near main road,Medium
Flooded underpass at office area blocking traffic,High
Minor cracks on road at railway station,Low
Power line down after storm near residential street,High
Noise pollution from vehicles at slum area,Medium
Public toilet unhygienic at playground,Low
Contaminated water supply reported at main road,High
Open manhole at hospital entrance posing danger,High
Blocked drainage causing foul smell at shopping mall,Medium
Collapsed footbridge at shopping mall,High
Overflowing garbage bins at market,Medium
Public toilet unhygienic at riverbank,Low
Street vendors occupying footpath at riverbank,Low
Rickshaw stand creating congestion at community hall,Medium
Fire hazard due to garbage burning at underpass,High
Power line down after storm near main road,High
Dust from construction at playground,Medium
Improper street sweeping at railway station,Low
Gas leak reported near slum area,High
Gas leak reported near residential street,High
Exposed live electric wire near railway station,High
Dim lights making park unsafe at railway station,Low
Overflowing garbage bins at market,Medium
Major pothole on slum area causing accidents,High
Stray animals loitering at slum area,Low
Sewage overflowing on riverbank street,High
Power line down after storm near college campus,High
Blocked drainage causing foul smell at community hall,Medium
Streetlight not working near community hall,Medium
Overflowing garbage bins at slum area,Medium
Minor cracks on road at school gate,Low
Dim lights making park unsafe at main road,Low
Minor cracks on road at residential street,Low
Improper street sweeping at playground,Low
Overflowing garbage bins at highway,Medium
Water leakage from pipe at railway station,Medium
Power line down after storm near college campus,High
Improper street sweeping at office area,Low
Minor cracks on road at market,Low
Encroachment by vendors at bus stop,Low
Streetlight not working near residential street,Medium
Posters defacing public property at community hall,Low
Dust from construction at office area,Medium
Major pothole on market causing accidents,High
Overflowing garbage bins at main road,Medium
Improper street sweeping at main road,Low
Flooded underpass at office area blocking traffic,High
Traffic signal malfunctioning at office area,Medium
Streetlight not working near market,Medium
Improper street sweeping at shopping mall,Low
Graffiti on walls near factory gate,Low
Rickshaw stand creating congestion at market,Medium
Sewage overflowing on playground street,High
Contaminated water supply reported at railway station,High
Posters defacing public property at flyover,Low
Dim lights making park unsafe at highway,Low
Minor cracks on road at bus stop,Low
Open manhole at office area posing danger,High
Traffic signal malfunctioning at market,Medium
Improper street sweeping at bus stop,Low
Dust from construction at railway station,Medium
Posters defacing public property at office area,Low
Power line down after storm near railway station,High
Open manhole at office area posing danger,High
Gas leak reported near bus stop,High
Posters defacing public property at residential street,Low
Stray animals loitering at highway,Low
Collapsed footbridge at office area,High
Open manhole at main road posing danger,High
Traffic signal malfunctioning at college campus,Medium
Flooded underpass at office area blocking traffic,High
Major pothole on bus stop causing accidents,High
Encroachment by vendors at factory gate,Low
Fire hazard due to garbage burning at residential street,High
Blocked drainage causing foul smell at highway,Medium
Power line down after storm near highway,High
Posters defacing public property at highway,Low
Broken sidewalk at school gate,Medium
Contaminated water supply reported at stadium,High
Sewage overflowing on playground street,High
Park benches broken at bus stop,Low
Graffiti on walls near stadium,Low
Water leakage from pipe at main road,Medium
Park benches broken at school gate,Low
Rickshaw stand creating congestion at highway,Medium
Improper street sweeping at underpass,Low
Overflowing garbage bins at main road,Medium
Posters defacing public property at community hall,Low
Public toilet unhygienic at underpass,Low
Stray animals loitering at highway,Low
Noise pollution from vehicles at underpass,Medium
Flooded underpass at railway station blocking traffic,High
Improper street sweeping at temple road,Low
Gas leak reported near highway,High
Encroachment by vendors at residential street,Low
Flooded underpass at bus stop blocking traffic,High
Sewage overflowing on underpass street,High
Illegal parking near riverbank,Medium
Dim lights making park unsafe at factory gate,Low
Overflowing garbage bins at temple road,Medium
Illegal parking near hospital entrance,Medium
Improper street sweeping at temple road,Low
Rickshaw stand creating congestion at hospital entrance,Medium
Fire hazard due to garbage burning at highway,High
Gas leak reported near highway,High
Dust from construction at bus stop,Medium
Street vendors occupying footpath at underpass,Low
Public toilet unhygienic at community hall,Low
Public toilet unhygienic at residential street,Low
Noise pollution from vehicles at playground,Medium
Rickshaw stand creating congestion at hospital entrance,Medium
Noise pollution from vehicles at underpass,Medium
Graffiti on walls near college campus,Low
Encroachment by vendors at stadium,Low
Contaminated water supply reported at underpass,High
Open manhole at office area posing danger,High
Park benches broken at bus stop,Low
Posters defacing public property at highway,Low
Gas leak reported near temple road,High
Open manhole at temple road posing danger,High
Major pothole on underpass causing accidents,High
Encroachment by vendors at temple road,Low
Flooded underpass at riverbank blocking traffic,High
Collapsed footbridge at main road,High
Encroachment by vendors at factory gate,Low
Dim lights making park unsafe at bus stop,Low
Encroachment by vendors at market,Low
Posters defacing public property at riverbank,Low
Power line down after storm near shopping mall,High
Exposed live electric wire near office area,High
Overflowing garbage bins at office area,Medium
Dust from construction at railway station,Medium
Public toilet unhygienic at flyover,Low
Flooded underpass at market blocking traffic,High
Park benches broken at hospital entrance,Low
Contaminated water supply reported at community hall,High
Public toilet unhygienic at market,Low
Streetlight not working near residential street,Medium
Park benches broken at school gate,Low
Power line down after storm near highway,High
Dim lights making park unsafe at stadium,Low
Fire hazard due to garbage burning at school gate,High
Gas leak reported near market,High
Sewage overflowing on community hall street,High
Broken sidewalk at temple road,Medium
Minor cracks on road at temple road,Low
