description,priority
Noise pollution from vehicles at shopping mall,Medium
Rickshaw stand creating congestion at stadium,Medium
Minor cracks on road at railway station,Low
Streetlight not working near residential street,Medium
Broken sidewalk at flyover,Medium
Illegal parking near bus stop,Medium
Encroachment by vendors at college campus,Low
Major pothole on highway causing accidents,High
Power line down after storm near shopping mall,High
Flooded underpass at slum area blocking traffic,High
Overflowing garbage bins at temple road,Medium
Broken sidewalk at highway,Medium
Traffic signal malfunctioning at highway,Medium
Exposed live electric wire near school gate,High
Flooded underpass at shopping mall blocking traffic,High
Major pothole on hospital entrance causing accidents,High
Contaminated water supply reported at factory gate,High
Traffic signal malfunctioning at main road,Medium
Major pothole on market causing accidents,High
Minor cracks on road at temple road,Low
Flooded underpass at factory gate blocking traffic,High
Posters defacing public property at highway,Low
Water leakage from pipe at railway station,Medium
Improper street sweeping at stadium,Low
Graffiti on walls near market,Low
Power line down after storm near playground,High
Noise pollution from vehicles at underpass,Medium
Blocked drainage causing foul smell at shopping mall,Medium
Collapsed footbridge at flyover,High
Contaminated water supply reported at college campus,High
Power line down after storm near underpass,High
Dim lights making park unsafe at community hall,Low
Broken sidewalk at temple road,Medium
Exposed live electric wire near community hall,High
Fire hazard due to garbage burning at bus stop,High
Flooded underpass at playground blocking traffic,High
Open manhole at flyover posing danger,High
Stray animals loitering at railway station,Low
Blocked drainage causing foul smell at factory gate,Medium
Public toilet unhygienic at hospital entrance,Low
Exposed live electric wire near hospital entrance,High
Park benches broken at shopping mall,Low
Stray animals loitering at flyover,Low
Collapsed footbridge at office area,High
Minor cracks on road at community hall,Low
Improper street sweeping at railway station,Low
Water leakage from pipe at railway station,Medium
Dim lights making park unsafe at railway station,Low
Traffic signal malfunctioning at office area,Medium
Gas leak reported near residential street,High
Encroachment by vendors at factory gate,Low
Street vendors occupying footpath at main road,Low
Major pothole on market causing accidents,High
Posters defacing public property at school gate,Low
Public toilet unhygienic at riverbank,Low
Dust from construction at highway,Medium
Park benches broken at playground,Low
Improper street sweeping at stadium,Low
Park benches broken at market,Low
Encroachment by vendors at railway station,Low
Power line down after storm near temple road,High
Encroachment by vendors at slum area,Low
Illegal parking near factory gate,Medium
Posters defacing public property at main road,Low
Encroachment by vendors at flyover,Low
Minor cracks on road at riverbank,Low
Collapsed footbridge at underpass,High
Power line down after storm near college campus,High
Gas leak reported near temple road,High
Power line down after storm near school gate,High
Noise pollution from vehicles at slum area,Medium
Rickshaw stand creating congestion at stadium,Medium
Noise pollution from vehicles at bus stop,Medium
Gas leak reported near railway station,High
Traffic signal malfunctioning at office area,Medium
Power line down after storm near hospital entrance,High
Traffic signal malfunctioning at shopping mall,Medium
Sewage overflowing on flyover street,High
Public toilet unhygienic at highway,Low
Water leakage from pipe at bus stop,Medium
Overflowing garbage bins at railway station,Medium
Water leakage from pipe at underpass,Medium
Stray animals loitering at residential street,Low
Contaminated water supply reported at railway station,High
Traffic signal malfunctioning at community hall,Medium
Sewage overflowing on factory gate street,High
Sewage overflowing on factory gate street,High
Posters defacing public property at flyover,Low
Water leakage from pipe at school gate,Medium
Noise pollution from vehicles at stadium,Medium
Streetlight not working near railway station,Medium
Street vendors occupying footpath at college campus,Low
Overflowing garbage bins at community hall,Medium
Graffiti on walls near community hall,Low
Minor cracks on road at college campus,Low
Streetlight not working near school gate,Medium
Open manhole at community hall posing danger,High
Overflowing garbage bins at main road,Medium
Noise pollution from vehicles at temple road,Medium
Dust from construction at stadium,Medium
Stray animals loitering at railway station,Low
Collapsed footbridge at riverbank,High
Blocked drainage causing foul smell at highway,Medium
Stray animals loitering at shopping mall,Low
Graffiti on walls near flyover,Low
Street vendors occupying footpath at flyover,Low
Noise pollution from vehicles at shopping mall,Medium
Dim lights making park unsafe at flyover,Low
Public toilet unhygienic at college campus,Low
Improper street sweeping at school gate,Low
Public toilet unhygienic at office area,Low
Minor cracks on road at community hall,Low
Power line down after storm near college campus,High
Flooded underpass at bus stop blocking traffic,High
Noise pollution from vehicles at underpass,Medium
Park benches broken at office area,Low
Water leakage from pipe at playground,Medium
Street vendors occupying footpath at hospital entrance,Low
Dim lights making park unsafe at slum area,Low
Stray animals loitering at main road,Low
Dim lights making park unsafe at flyover,Low
Graffiti on walls near school gate,Low
Noise pollution from vehicles at school gate,Medium
Public toilet unhygienic at shopping mall,Low
Blocked drainage causing foul smell at market,Medium
Water leakage from pipe at stadium,Medium
Illegal parking near underpass,Medium
Broken sidewalk at flyover,Medium
Noise pollution from vehicles at community hall,Medium
Street vendors occupying footpath at factory gate,Low
Noise pollution from vehicles at community hall,Medium
Public toilet unhygienic at factory gate,Low
Rickshaw stand creating congestion at underpass,Medium
Graffiti on walls near underpass,Low
Streetlight not working near stadium,Medium
Streetlight not working near main road,Medium
Streetlight not working near community hall,Medium
Open manhole at main road posing danger,High
Fire hazard due to garbage burning at shopping mall,High
Major pothole on highway causing accidents,High
Noise pollution from vehicles at main road,Medium
Broken sidewalk at stadium,Medium
Streetlight not working near college campus,Medium
Park benches broken at factory gate,Low
Contaminated water supply reported at shopping mall,High
Stray animals loitering at flyover,Low
Posters defacing public property at market,Low
Flooded underpass at temple road blocking traffic,High
Collapsed footbridge at community hall,High
Public toilet unhygienic at underpass,Low
Exposed live electric wire near office area,High
Improper street sweeping at hospital entrance,Low
Overflowing garbage bins at community hall,Medium
Sewage overflowing on underpass street,High
Noise pollution from vehicles at bus stop,Medium
Overflowing garbage bins at temple road,Medium
Overflowing garbage bins at office area,Medium
Fire hazard due to garbage burning at playground,High
Contaminated water supply reported at temple road,High
Contaminated water supply reported at underpass,High
Broken sidewalk at hospital entrance,Medium
Improper street sweeping at bus stop,Low
Gas leak reported near bus stop,High
Improper street sweeping at main road,Low
Broken sidewalk at residential street,Medium
Traffic signal malfunctioning at stadium,Medium
Rickshaw stand creating congestion at stadium,Medium
Encroachment by vendors at bus stop,Low
Collapsed footbridge at bus stop,High
Graffiti on walls near temple road,Low
Posters defacing public property at office area,Low
Improper street sweeping at highway,Low
Broken sidewalk at office area,Medium
Collapsed footbridge at market,High
Improper street sweeping at factory gate,Low
Dim lights making park unsafe at riverbank,Low
Traffic signal malfunctioning at shopping mall,Medium
Street vendors occupying footpath at factory gate,Low
Traffic signal malfunctioning at main road,Medium
Illegal parking near market,Medium
Collapsed footbridge at community hall,High
Posters defacing public property at playground,Low
Stray animals loitering at school gate,Low
Broken sidewalk at temple road,Medium
Streetlight not working near hospital entrance,Medium
Stray animals loitering at flyover,Low
Blocked drainage causing foul smell at highway,Medium
Stray animals loitering at playground,Low
Contaminated water supply reported at market,High
Minor cracks on road at underpass,Low
Noise pollution from vehicles at college campus,Medium
Gas leak reported near residential street,High
Graffiti on walls near residential street,Low
Graffiti on walls near bus stop,Low
Power line down after storm near stadium,High
Streetlight not working near office area,Medium
Encroachment by vendors at hospital entrance,Low
Improper street sweeping at main road,Low
Flooded underpass at railway station blocking traffic,High
Minor cracks on road at playground,Low
Sewage overflowing on residential street street,High
Encroachment by vendors at hospital entrance,Low
Streetlight not working near residential street,Medium
Streetlight not working near residential street,Medium
Broken sidewalk at office area,Medium
Broken sidewalk at slum area,Medium
Sewage overflowing on residential street street,High
Dust from construction at factory gate,Medium
Traffic signal malfunctioning at highway,Medium
Posters defacing public property at flyover,Low
Exposed live electric wire near hospital entrance,High
Encroachment by vendors at college campus,Low
Stray animals loitering at residential street,Low
Public toilet unhygienic at stadium,Low
Major pothole on railway station causing accidents,High
Exposed live electric wire near underpass,High
Graffiti on walls near bus stop,Low
Park benches broken at highway,Low
Flooded underpass at hospital entrance blocking traffic,High
Water leakage from pipe at riverbank,Medium
Fire hazard due to garbage burning at residential street,High
Dim lights making park unsafe at factory gate,Low
Fire hazard due to garbage burning at community hall,High
Illegal parking near community hall,Medium
Water leakage from pipe at railway station,Medium
Power line down after storm near riverbank,High
Major pothole on community hall causing accidents,High
Traffic signal malfunctioning at highway,Medium
Blocked drainage causing foul smell at riverbank,Medium
Contaminated water supply reported at residential street,High
Overflowing garbage bins at bus stop,Medium
Sewage overflowing on residential street street,High
Encroachment by vendors at underpass,Low
Water leakage from pipe at school gate,Medium
Major pothole on market causing accidents,High
Posters defacing public property at temple road,Low
Broken sidewalk at college campus,Medium
Water leakage from pipe at temple road,Medium
Exposed live electric wire near hospital entrance,High
Public toilet unhygienic at factory gate,Low
Overflowing garbage bins at residential street,Medium
Posters defacing public property at factory gate,Low
Exposed live electric wire near market,High
Overflowing garbage bins at underpass,Medium
Graffiti on walls near community hall,Low
Park benches broken at riverbank,Low
Traffic signal malfunctioning at railway station,Medium
Collapsed footbridge at playground,High
Park benches broken at highway,Low
Open manhole at riverbank posing danger,High
Major pothole on hospital entrance causing accidents,High
Dust from construction at slum area,Medium
Illegal parking near main road,Medium
Contaminated water supply reported at temple road,High
Fire hazard due to garbage burning at railway station,High
Flooded underpass at office area blocking traffic,High
Minor cracks on road at slum area,Low
Stray animals loitering at office area,Low
Power line down after storm near playground,High
Broken sidewalk at office area,Medium
Traffic signal malfunctioning at school gate,Medium
Street vendors occupying footpath at railway station,Low
Streetlight not working near railway station,Medium
Power line down after storm near office area,High
Contaminated water supply reported at railway station,High
Posters defacing public property at community hall,Low
Flooded underpass at school gate blocking traffic,High
Exposed live electric wire near shopping mall,High
Major pothole on slum area causing accidents,High
Overflowing garbage bins at stadium,Medium
Rickshaw stand creating congestion at college campus,Medium
Contaminated water supply reported at factory gate,High
Power line down after storm near school gate,High
Stray animals loitering at slum area,Low
Graffiti on walls near bus stop,Low
Street vendors occupying footpath at college campus,Low
Overflowing garbage bins at college campus,Medium
Dim lights making park unsafe at residential street,Low
Improper street sweeping at highway,Low
Exposed live electric wire near playground,High
Improper street sweeping at school gate,Low
Contaminated water supply reported at stadium,High
Rickshaw stand creating congestion at riverbank,Medium
Overflowing garbage bins at factory gate,Medium
Exposed live electric wire near bus stop,High
Noise pollution from vehicles at flyover,Medium
Streetlight not working near flyover,Medium
Minor cracks on road at office area,Low
Open manhole at main road posing danger,High
Graffiti on walls near college campus,Low
Rickshaw stand creating congestion at riverbank,Medium
Rickshaw stand creating congestion at railway station,Medium
Blocked drainage causing foul smell at main road,Medium
Water leakage from pipe at college campus,Medium
Collapsed footbridge at temple road,High
Major pothole on factory gate causing accidents,High
Encroachment by vendors at playground,Low
Rickshaw stand creating congestion at railway station,Medium
Gas leak reported near main road,High
Open manhole at hospital entrance posing danger,High
Traffic signal malfunctioning at railway station,Medium
Graffiti on walls near college campus,Low
Contaminated water supply reported at bus stop,High
Overflowing garbage bins at highway,Medium
Gas leak reported near railway station,High
Contaminated water supply reported at slum area,High
Major pothole on residential street causing accidents,High
Public toilet unhygienic at slum area,Low
Noise pollution from vehicles at riverbank,Medium
Gas leak reported near playground,High
Street vendors occupying footpath at railway station,Low
Open manhole at college campus posing danger,High
Rickshaw stand creating congestion at temple road,Medium
Fire hazard due to garbage burning at playground,High
Stray animals loitering at residential street,Low
Dim lights making park unsafe at flyover,Low
Minor cracks on road at stadium,Low
Contaminated water supply reported at railway station,High
Encroachment by vendors at factory gate,Low
Graffiti on walls near main road,Low
Sewage overflowing on playground street,High
Broken sidewalk at slum area,Medium
Water leakage from pipe at bus stop,Medium
Dim lights making park unsafe at bus stop,Low
Major pothole on railway station causing accidents,High
Exposed live electric wire near shopping mall,High
Streetlight not working near railway station,Medium
Rickshaw stand creating congestion at riverbank,Medium
Broken sidewalk at college campus,Medium
Street vendors occupying footpath at college campus,Low
Fire hazard due to garbage burning at community hall,High
Minor cracks on road at stadium,Low
Overflowing garbage bins at residential street,Medium
Flooded underpass at college campus blocking traffic,High
Overflowing garbage bins at riverbank,Medium
Streetlight not working near bus stop,Medium
Streetlight not working near community hall,Medium
Collapsed footbridge at underpass,High
Dim lights making park unsafe at highway,Low
Graffiti on walls near temple road,Low
Park benches broken at playground,Low
Blocked drainage causing foul smell at main road,Medium
Collapsed footbridge at highway,High
Public toilet unhygienic at slum area,Low
Open manhole at college campus posing danger,High
Noise pollution from vehicles at office area,Medium
Illegal parking near railway station,Medium
Fire hazard due to garbage burning at college campus,High
Gas leak reported near hospital entrance,High
Rickshaw stand creating congestion at highway,Medium
Power line down after storm near underpass,High
Flooded underpass at community hall blocking traffic,High
Collapsed footbridge at college campus,High
Exposed live electric wire near hospital entrance,High
Broken sidewalk at highway,Medium
Fire hazard due to garbage burning at school gate,High
Streetlight not working near market,Medium
Graffiti on walls near bus stop,Low
Graffiti on walls near community hall,Low
Broken sidewalk at hospital entrance,Medium
Blocked drainage causing foul smell at playground,Medium
Contaminated water supply reported at community hall,High
Fire hazard due to garbage burning at stadium,High
Improper street sweeping at highway,Low
Rickshaw stand creating congestion at residential street,Medium
Sewage overflowing on underpass street,High
Park benches broken at railway station,Low
Major pothole on market causing accidents,High
Flooded underpass at riverbank blocking traffic,High
Stray animals loitering at riverbank,Low
Power line down after storm near underpass,High
Exposed live electric wire near highway,High
Flooded underpass at railway station blocking traffic,High
Gas leak reported near community hall,High
Dust from construction at market,Medium
Improper street sweeping at temple road,Low
Contaminated water supply reported at factory gate,High
Improper street sweeping at underpass,Low
Graffiti on walls near playground,Low
Stray animals loitering at stadium,Low
Flooded underpass at main road blocking traffic,High
Collapsed footbridge at main road,High
Encroachment by vendors at college campus,Low
Water leakage from pipe at residential street,Medium
Encroachment by vendors at residential street,Low
Graffiti on walls near office area,Low
Dim lights making park unsafe at residential street,Low
Overflowing garbage bins at factory gate,Medium
Illegal parking near factory gate,Medium
Rickshaw stand creating congestion at office area,Medium
Open manhole at community hall posing danger,High
Stray animals loitering at slum area,Low
Park benches broken at underpass,Low
Public toilet unhygienic at playground,Low
Street vendors occupying footpath at school gate,Low
Major pothole on temple road causing accidents,High
Noise pollution from vehicles at school gate,Medium
Fire hazard due to garbage burning at factory gate,High
Overflowing garbage bins at slum area,Medium
Streetlight not working near residential street,Medium
Improper street sweeping at college campus,Low
Dust from construction at market,Medium
Gas leak reported near playground,High
Power line down after storm near temple road,High
Traffic signal malfunctioning at stadium,Medium
Blocked drainage causing foul smell at school gate,Medium
Encroachment by vendors at market,Low
Water leakage from pipe at shopping mall,Medium
Encroachment by vendors at office area,Low
Water leakage from pipe at flyover,Medium
Open manhole at stadium posing danger,High
Collapsed footbridge at stadium,High
Park benches broken at school gate,Low
Overflowing garbage bins at slum area,Medium
Blocked drainage causing foul smell at highway,Medium
Open manhole at playground posing danger,High
Collapsed footbridge at slum area,High
Fire hazard due to garbage burning at railway station,High
Rickshaw stand creating congestion at playground,Medium
Minor cracks on road at factory gate,Low
Stray animals loitering at factory gate,Low
Major pothole on underpass causing accidents,High
Rickshaw stand creating congestion at college campus,Medium
Streetlight not working near slum area,Medium
Power line down after storm near college campus,High
Overflowing garbage bins at college campus,Medium
Illegal parking near school gate,Medium
Park benches broken at playground,Low
Dust from construction at slum area,Medium
Graffiti on walls near slum area,Low
Public toilet unhygienic at playground,Low
Collapsed footbridge at college campus,High
Collapsed footbridge at bus stop,High
Streetlight not working near residential street,Medium
Improper street sweeping at school gate,Low
Broken sidewalk at market,Medium
Public toilet unhygienic at main road,Low
Rickshaw stand creating congestion at residential street,Medium
Power line down after storm near highway,High
Gas leak reported near market,High
Sewage overflowing on residential street street,High
Gas leak reported near slum area,High
Overflowing garbage bins at stadium,Medium
Dust from construction at main road,Medium
Broken sidewalk at stadium,Medium
Noise pollution from vehicles at market,Medium
Park benches broken at railway station,Low
Major pothole on highway causing accidents,High
Traffic signal malfunctioning at riverbank,Medium
Encroachment by vendors at community hall,Low
Posters defacing public property at bus stop,Low
Streetlight not working near community hall,Medium
Stray animals loitering at community hall,Low
Exposed live electric wire near underpass,High
Blocked drainage causing foul smell at hospital entrance,Medium
Contaminated water supply reported at riverbank,High
Water leakage from pipe at college campus,Medium
Major pothole on hospital entrance causing accidents,High
Exposed live electric wire near riverbank,High
Encroachment by vendors at bus stop,Low
Sewage overflowing on underpass street,High
Improper street sweeping at bus stop,Low
Power line down after storm near hospital entrance,High
Traffic signal malfunctioning at stadium,Medium
Illegal parking near riverbank,Medium
Park benches broken at hospital entrance,Low
Overflowing garbage bins at playground,Medium
Park benches broken at office area,Low
Posters defacing public property at highway,Low
Stray animals loitering at flyover,Low
Water leakage from pipe at office area,Medium
Dust from construction at highway,Medium
Major pothole on residential street causing accidents,High
Broken sidewalk at community hall,Medium
Overflowing garbage bins at college campus,Medium
Dust from construction at riverbank,Medium
Blocked drainage causing foul smell at hospital entrance,Medium
Collapsed footbridge at community hall,High
Encroachment by vendors at stadium,Low
Collapsed footbridge at hospital entrance,High
Minor cracks on road at hospital entrance,Low
Water leakage from pipe at residential street,Medium
Broken sidewalk at main road,Medium
Noise pollution from vehicles at shopping mall,Medium
Broken sidewalk at college campus,Medium
Flooded underpass at office area blocking traffic,High
Contaminated water supply reported at playground,High
Stray animals loitering at temple road,Low
Encroachment by vendors at slum area,Low
Illegal parking near playground,Medium
Open manhole at riverbank posing danger,High
Power line down after storm near college campus,High
Overflowing garbage bins at school gate,Medium
Traffic signal malfunctioning at stadium,Medium
Improper street sweeping at riverbank,Low
Rickshaw stand creating congestion at slum area,Medium
Improper street sweeping at shopping mall,Low
Posters defacing public property at riverbank,Low
Contaminated water supply reported at temple road,High
Dust from construction at market,Medium
Rickshaw stand creating congestion at underpass,Medium
Fire hazard due to garbage burning at stadium,High
Streetlight not working near school gate,Medium
Noise pollution from vehicles at residential street,Medium
Water leakage from pipe at shopping mall,Medium
Encroachment by vendors at office area,Low
Collapsed footbridge at highway,High
Posters defacing public property at underpass,Low
Street vendors occupying footpath at playground,Low
Power line down after storm near railway station,High
Rickshaw stand creating congestion at hospital entrance,Medium
Overflowing garbage bins at office area,Medium
Stray animals loitering at office area,Low
Noise pollution from vehicles at flyover,Medium
Public toilet unhygienic at riverbank,Low
Sewage overflowing on slum area street,High
Streetlight not working near slum area,Medium
Power line down after storm near community hall,High
Illegal parking near shopping mall,Medium
Broken sidewalk at main road,Medium
Public toilet unhygienic at riverbank,Low
Dust from construction at factory gate,Medium
Major pothole on stadium causing accidents,High
Street vendors occupying footpath at underpass,Low
Blocked drainage causing foul smell at highway,Medium
Dust from construction at riverbank,Medium
Flooded underpass at railway station blocking traffic,High
Dim lights making park unsafe at railway station,Low
Exposed live electric wire near hospital entrance,High
Overflowing garbage bins at hospital entrance,Medium
Water leakage from pipe at hospital entrance,Medium
Public toilet unhygienic at college campus,Low
Public toilet unhygienic at market,Low
Fire hazard due to garbage burning at bus stop,High
Open manhole at residential street posing danger,High
Power line down after storm near college campus,High
Traffic signal malfunctioning at residential street,Medium
Traffic signal malfunctioning at factory gate,Medium
Contaminated water supply reported at shopping mall,High
Major pothole on residential street causing accidents,High
Noise pollution from vehicles at playground,Medium
Public toilet unhygienic at playground,Low
Illegal parking near underpass,Medium
Streetlight not working near highway,Medium
Dust from construction at riverbank,Medium
Graffiti on walls near hospital entrance,Low
Public toilet unhygienic at office area,Low
Gas leak reported near shopping mall,High
Major pothole on hospital entrance causing accidents,High
Illegal parking near bus stop,Medium
Fire hazard due to garbage burning at shopping mall,High
Graffiti on walls near playground,Low
Contaminated water supply reported at hospital entrance,High
Sewage overflowing on residential street street,High
Improper street sweeping at flyover,Low
Dim lights making park unsafe at shopping mall,Low
Fire hazard due to garbage burning at residential street,High
Gas leak reported near factory gate,High
Broken sidewalk at slum area,Medium
Blocked drainage causing foul smell at railway station,Medium
Noise pollution from vehicles at temple road,Medium
Graffiti on walls near community hall,Low
Dim lights making park unsafe at school gate,Low
Major pothole on residential street causing accidents,High
Sewage overflowing on underpass street,High
Rickshaw stand creating congestion at hospital entrance,Medium
Dust from construction at underpass,Medium
Dim lights making park unsafe at underpass,Low
Graffiti on walls near riverbank,Low
Public toilet unhygienic at market,Low
Posters defacing public property at highway,Low
Traffic signal malfunctioning at main road,Medium
Graffiti on walls near railway station,Low
Stray animals loitering at market,Low
Broken sidewalk at playground,Medium
Streetlight not working near office area,Medium
Noise pollution from vehicles at shopping mall,Medium
Dust from construction at riverbank,Medium
Blocked drainage causing foul smell at riverbank,Medium
Park benches broken at hospital entrance,Low
Traffic signal malfunctioning at college campus,Medium
Open manhole at bus stop posing danger,High
Gas leak reported near flyover,High
Streetlight not working near office area,Medium
Park benches broken at main road,Low
Collapsed footbridge at shopping mall,High
Gas leak reported near temple road,High
Public toilet unhygienic at flyover,Low
Fire hazard due to garbage burning at community hall,High
Traffic signal malfunctioning at bus stop,Medium
Improper street sweeping at playground,Low
Flooded underpass at factory gate blocking traffic,High
Gas leak reported near residential street,High
Noise pollution from vehicles at hospital entrance,Medium
Contaminated water supply reported at main road,High
Improper street sweeping at shopping mall,Low
Stray animals loitering at riverbank,Low
Water leakage from pipe at highway,Medium
Collapsed footbridge at slum area,High
Street vendors occupying footpath at bus stop,Low
Street vendors occupying footpath at railway station,Low
Park benches broken at hospital entrance,Low
Contaminated water supply reported at temple road,High
Flooded underpass at playground blocking traffic,High
Public toilet unhygienic at playground,Low
Streetlight not working near factory gate,Medium
Exposed live electric wire near temple road,High
Fire hazard due to garbage burning at playground,High
Dim lights making park unsafe at market,Low
Public toilet unhygienic at market,Low
Exposed live electric wire near factory gate,High
Sewage overflowing on market street,High
Posters defacing public property at factory gate,Low
Noise pollution from vehicles at slum area,Medium
Broken sidewalk at railway station,Medium
Street vendors occupying footpath at playground,Low
Street vendors occupying footpath at college campus,Low
Improper street sweeping at market,Low
Improper street sweeping at temple road,Low
Overflowing garbage bins at playground,Medium
Encroachment by vendors at shopping mall,Low
Graffiti on walls near playground,Low
Streetlight not working near playground,Medium
Park benches broken at factory gate,Low
Graffiti on walls near college campus,Low
Flooded underpass at hospital entrance blocking traffic,High
Encroachment by vendors at highway,Low
Graffiti on walls near temple road,Low
Posters defacing public property at office area,Low
Major pothole on school gate causing accidents,High
Illegal parking near community hall,Medium
Gas leak reported near community hall,High
Noise pollution from vehicles at highway,Medium
Noise pollution from vehicles at school gate,Medium
Dust from construction at hospital entrance,Medium
Streetlight not working near playground,Medium
Park benches broken at flyover,Low
Encroachment by vendors at market,Low
Illegal parking near highway,Medium
Overflowing garbage bins at underpass,Medium
Street vendors occupying footpath at flyover,Low
Graffiti on walls near residential street,Low
Graffiti on walls near community hall,Low
Power line down after storm near stadium,High
Open manhole at office area posing danger,High
Overflowing garbage bins at playground,Medium
Traffic signal malfunctioning at temple road,Medium
Overflowing garbage bins at railway station,Medium
Illegal parking near school gate,Medium
Graffiti on walls near factory gate,Low
Traffic signal malfunctioning at railway station,Medium
Major pothole on stadium causing accidents,High
Flooded underpass at underpass blocking traffic,High
Street vendors occupying footpath at railway station,Low
Minor cracks on road at office area,Low
Contaminated water supply reported at slum area,High
Exposed live electric wire near bus stop,High
Illegal parking near playground,Medium
Public toilet unhygienic at railway station,Low
Dim lights making park unsafe at school gate,Low
Dust from construction at main road,Medium
Major pothole on school gate causing accidents,High
Exposed live electric wire near shopping mall,High
Sewage overflowing on slum area street,High
Stray animals loitering at underpass,Low
